"","flag","checked","synonym_names","questionable","accepted_name","accepted_subspecies","Notes"
"1","Afranthidium malacopygum",NA,NA,NA,NA,NA,NA
"2","Amegilla albifrons",NA,NA,NA,NA,NA,NA
"3","Amegilla albifrons",NA,NA,NA,NA,NA,NA
"76","Andrena albupunctata",NA,NA,NA,NA,NA,NA
"77","Andrena armata",NA,NA,NA,NA,NA,NA
"78","Andrena armata",NA,NA,NA,NA,NA,NA
"79","Andrena armata",NA,NA,NA,NA,NA,NA
"80","Andrena armata",NA,NA,NA,NA,NA,NA
"81","Andrena benoisti",NA,NA,NA,NA,NA,NA
"82","Andrena benoisti",NA,NA,NA,NA,NA,NA
"83","Andrena benoisti",NA,NA,NA,NA,NA,NA
"84","Andrena benoisti",NA,NA,NA,NA,NA,NA
"85","Andrena benoisti",NA,NA,NA,NA,NA,NA
"86","Andrena benoisti",NA,NA,NA,NA,NA,NA
"87","Andrena benoisti",NA,NA,NA,NA,NA,NA
"88","Andrena benoisti",NA,NA,NA,NA,NA,NA
"89","Andrena benoisti",NA,NA,NA,NA,NA,NA
"90","Andrena benoisti",NA,NA,NA,NA,NA,NA
"91","Andrena benoisti",NA,NA,NA,NA,NA,NA
"92","Andrena benoisti",NA,NA,NA,NA,NA,NA
"93","Andrena benoisti",NA,NA,NA,NA,NA,NA
"94","Andrena benoisti",NA,NA,NA,NA,NA,NA
"227","Andrena coitana",NA,NA,NA,NA,NA,NA
"235","Andrena dourada",NA,NA,NA,NA,NA,NA
"236","Andrena dourada",NA,NA,NA,NA,NA,NA
"237","Andrena dourada",NA,NA,NA,NA,NA,NA
"238","Andrena dourada",NA,NA,NA,NA,NA,NA
"239","Andrena dunningi",NA,NA,NA,NA,NA,NA
"247","Andrena flava",NA,NA,NA,NA,NA,NA
"248","Andrena fortipunctata",NA,NA,NA,NA,NA,NA
"251","Andrena gallica",NA,NA,NA,NA,NA,NA
"252","Andrena gallica",NA,NA,NA,NA,NA,NA
"253","Andrena gallica",NA,NA,NA,NA,NA,NA
"254","Andrena gallica",NA,NA,NA,NA,NA,NA
"271","Andrena hispanica",NA,NA,NA,NA,NA,NA
"283","Andrena juliana",NA,NA,NA,NA,NA,NA
"284","Andrena levante",NA,NA,NA,NA,NA,NA
"285","Andrena levante",NA,NA,NA,NA,NA,NA
"286","Andrena levante",NA,NA,NA,NA,NA,NA
"287","Andrena levante",NA,NA,NA,NA,NA,NA
"288","Andrena levante",NA,NA,NA,NA,NA,NA
"289","Andrena levante",NA,NA,NA,NA,NA,NA
"356","Andrena maderiensis",NA,NA,NA,NA,NA,NA
"371","Andrena minuta",NA,NA,NA,NA,NA,NA
"372","Andrena minuta",NA,NA,NA,NA,NA,NA
"599","Andrena numida",NA,NA,NA,NA,NA,NA
"600","Andrena ocreata",NA,NA,NA,NA,NA,NA
"601","Andrena ornata",NA,NA,NA,NA,NA,NA
"602","Andrena orotavensis",NA,NA,NA,NA,NA,NA
"603","Andrena orotavensis",NA,NA,NA,NA,NA,NA
"604","Andrena parvula",NA,NA,NA,NA,NA,NA
"605","Andrena parvula",NA,NA,NA,NA,NA,NA
"606","Andrena parvula",NA,NA,NA,NA,NA,NA
"609","Andrena quadrimaculata",NA,NA,NA,NA,NA,NA
"969","Andrena strohmella",NA,NA,NA,NA,NA,NA
"970","Andrena strohmella",NA,NA,NA,NA,NA,NA
"971","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"972","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"973","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"974","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"975","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"976","Andrena ternuistriata",NA,NA,NA,NA,NA,NA
"1163","Anthidium blongatum",NA,NA,NA,NA,NA,NA
"1164","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1165","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1166","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1167","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1168","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1169","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1170","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1171","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1172","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1173","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1174","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1175","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1176","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1177","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1178","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1179","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1180","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1183","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1184","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1185","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1186","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1187","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1188","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1232","Anthidium stictium",NA,NA,NA,NA,NA,NA
"1235","Anthidium trematum",NA,NA,NA,NA,NA,NA
"1236","Anthidium variegatum",NA,NA,NA,NA,NA,NA
"1237","Anthidium variegatum",NA,NA,NA,NA,NA,NA
"1323","Anthophora californica",NA,NA,NA,NA,NA,NA
"1324","Anthophora californica",NA,NA,NA,NA,NA,NA
"1327","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1328","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1329","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1330","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1331","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1332","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1333","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1334","Anthophora liefrincki",NA,NA,NA,NA,NA,NA
"1336","Anthophora nigrocincta",NA,NA,NA,NA,NA,NA
"1421","Anthophora toracica",NA,NA,NA,NA,NA,NA
"1455","Bombus argillaceus",NA,NA,NA,NA,NA,NA
"1456","Bombus canariensis",NA,NA,NA,NA,NA,NA
"1458","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1459","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1460","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1461","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1462","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1463","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1569","Bombus montincola",NA,NA,NA,NA,NA,NA
"1570","Bombus montincola",NA,NA,NA,NA,NA,NA
"1571","Bombus montincola",NA,NA,NA,NA,NA,NA
"1572","Bombus montincola",NA,NA,NA,NA,NA,NA
"1573","Bombus montincola",NA,NA,NA,NA,NA,NA
"1574","Bombus montincola",NA,NA,NA,NA,NA,NA
"1575","Bombus montincola",NA,NA,NA,NA,NA,NA
"1632","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1633","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1634","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1635","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1636","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1637","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1638","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1639","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1640","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1641","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1642","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1643","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1644","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1645","Bombus terrestri",NA,NA,NA,NA,NA,NA
"1646","Bombus wuerflenii",NA,NA,NA,NA,NA,NA
"1647","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1648","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1649","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1650","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1651","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1657","Ceratina calybea",NA,NA,NA,NA,NA,NA
"1658","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1659","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1660","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1661","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1662","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1663","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1706","Coelioxys auroliubata",NA,NA,NA,NA,NA,NA
"1723","Colletes africana",NA,NA,NA,NA,NA,NA
"1724","Colletes albescens",NA,NA,NA,NA,NA,NA
"1725","Colletes albescens",NA,NA,NA,NA,NA,NA
"1726","Colletes albescens",NA,NA,NA,NA,NA,NA
"1727","Colletes albescens",NA,NA,NA,NA,NA,NA
"1728","Colletes albescens",NA,NA,NA,NA,NA,NA
"1729","Colletes albescens",NA,NA,NA,NA,NA,NA
"1730","Colletes albescens",NA,NA,NA,NA,NA,NA
"1731","Colletes albescens",NA,NA,NA,NA,NA,NA
"1771","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1772","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1773","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1774","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1775","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1776","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1777","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1778","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1779","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1780","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1781","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1782","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1783","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1784","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1785","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1786","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1787","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1788","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1789","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1790","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1791","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1792","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1793","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1794","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1795","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1796","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1797","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1798","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1799","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1800","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1801","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1802","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1803","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1804","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1805","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1806","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1807","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1808","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1809","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1810","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1811","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1812","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1813","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1814","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1815","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1903","Colletes jansmiti",NA,NA,NA,NA,NA,NA
"1904","Colletes moricei",NA,NA,NA,NA,NA,NA
"1905","Colletes moricei",NA,NA,NA,NA,NA,NA
"1906","Colletes moricei",NA,NA,NA,NA,NA,NA
"1907","Colletes moricei",NA,NA,NA,NA,NA,NA
"1908","Colletes moricei",NA,NA,NA,NA,NA,NA
"1909","Colletes moricei",NA,NA,NA,NA,NA,NA
"1910","Colletes moricei",NA,NA,NA,NA,NA,NA
"1911","Colletes moricei",NA,NA,NA,NA,NA,NA
"1912","Colletes moricei",NA,NA,NA,NA,NA,NA
"1913","Colletes moricei",NA,NA,NA,NA,NA,NA
"1914","Colletes moricei",NA,NA,NA,NA,NA,NA
"1915","Colletes moricei",NA,NA,NA,NA,NA,NA
"1916","Colletes moricei",NA,NA,NA,NA,NA,NA
"1917","Colletes moricei",NA,NA,NA,NA,NA,NA
"1918","Colletes moricei",NA,NA,NA,NA,NA,NA
"1919","Colletes perezi",NA,NA,NA,NA,NA,NA
"1920","Colletes perezi",NA,NA,NA,NA,NA,NA
"1921","Colletes perezi",NA,NA,NA,NA,NA,NA
"1949","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1950","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1951","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1952","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1953","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1954","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1955","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1956","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1957","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1958","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1959","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1960","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1961","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1962","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1981","Dioxys tridentata",NA,NA,NA,NA,NA,NA
"1983","Dufourea maura",NA,NA,NA,NA,NA,NA
"1984","Dufourea maura",NA,NA,NA,NA,NA,NA
"1985","Dufourea minta",NA,NA,NA,NA,NA,NA
"1996","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1997","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1998","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1999","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2000","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2001","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2002","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2003","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2059","Eucera gracillipes",NA,NA,NA,NA,NA,NA
"2060","Eucera gracillipes",NA,NA,NA,NA,NA,NA
"2068","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2069","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2070","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2071","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2072","Eucera maroccana",NA,NA,NA,NA,NA,NA
"2073","Eucera nigrencens",NA,NA,NA,NA,NA,NA
"2094","Halictus asperellus",NA,NA,NA,NA,NA,NA
"2125","Halictus cremicornis",NA,NA,NA,NA,NA,NA
"2126","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2127","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2128","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2129","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2130","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2131","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2132","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2133","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2134","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2135","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2136","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2137","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2138","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2139","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2140","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2141","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2142","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2143","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2144","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2145","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2146","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2147","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2148","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2149","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2150","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2151","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2152","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2153","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2154","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2155","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2156","Halictus frontalis",NA,NA,NA,NA,NA,NA
