Longitude;Latitude;Visitor;Plant;Date;Day;Month;Year;Site;Data;MinEle;MaxEle;EleZone;clim
-0.04113;42.74037;Bombus terrestris complex;Carduus carlinoides;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1900;1900;1800-2000;10.5
-0.038612;42.74206;Bombus sichelii;Carduus defloratus;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1800;1800;1800-2000;10.9
-0.036181;42.70804;Bombus sichelii;Carduus carlinoides;15/8/1889;15;8;1889;weg naar de Breche de Roland (Gavarnie);MacLeod;2000;2000;2000-2200;9.9
-0.03585;42.74282;Bombus hortorum;Scutellaria alpina;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.03585;42.74282;Bombus lapidarius;Carduus carlinoides;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.03585;42.74282;Bombus terrestris complex;Carduus defloratus;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.034636;42.74376;Bombus humilis;Cirsium acaule;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1600;1600;1600-1800;11.8
-0.02741;42.71274;Bombus terrestris complex;Carduus defloratus;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.02741;42.71274;Bombus mesomelas;Carduus carlinoides;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.02741;42.71274;Bombus hortorum;Cirsium glabrum;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.016726;42.73138;Bombus wurflenii;Anthyllis vulneraria;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Trifolium pratense;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Anthyllis vulneraria;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus mesomelas;Carduus defloratus;17/8/1889;17;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus mesomelas;Carduus defloratus;23/8/1889;23;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Brunella vulgaris;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Brunella vulgaris;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Teucrium pyrenaicum;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Carduus carlinoides;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Geranium cinereum;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Lotus corniculatus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Teucrium pyrenaicum;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Rhinanthus minor;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Sideritis hyssopifolia;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Phyteuma orbiculare;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Lotus corniculatus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Knautia arvensis;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Scabiosa columbaria;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Campanula rotundifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Campanula rotundifolia;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus humilis;Knautia arvensis;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus mesomelas;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Trifolium pratense;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.015187;42.73136;Bombus wurflenii;Anthyllis vulneraria;14/8/1889;14;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Trifolium pratense;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Trifolium pratense;14/8/1889;14;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus mesomelas;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus mesomelas;Carduus defloratus;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Anthyllis vulneraria;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus sichelii;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus terrestris complex;Carduus defloratus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus terrestris complex;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus sichelii;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus gerstaeckeri;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Galeopsis tetrahit;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Galeopsis tetrahit;23/8/1889;23;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus mesomelas;Carduus defloratus;23/8/1889;23;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus terrestris complex;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Aconitum sp.;22/8/1889;22;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus mesomelas;Brunella vulgaris;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus mesomelas;Lotus corniculatus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus soroeensis;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus soroeensis;Carduus defloratus;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus sichelii;Stachys sylvatica;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus wurflenii;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.015187;42.73136;Bombus hortorum;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1600;1600;1600-1800;12
-0.014504;42.73128;Bombus sichelii;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus mesomelas;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus sichelii;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus terrestris complex;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus terrestris complex;Carduus defloratus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus mesomelas;Carduus defloratus;23/8/1889;23;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus sichelii;Trifolium repens;22/8/1889;22;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus sichelii;Lotus corniculatus;22/8/1889;22;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus mesomelas;Carduus defloratus;17/8/1889;17;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus sichelii;Cirsium eriophorum;23/8/1889;23;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus wurflenii;Cirsium eriophorum;22/8/1889;22;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus wurflenii;Cirsium eriophorum;23/8/1889;23;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus ruderarius;Cirsium eriophorum;22/8/1889;22;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus soroeensis;Cirsium eriophorum;17/8/1889;17;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus terrestris complex;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus hortorum;Cirsium eriophorum;22/8/1889;22;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.014504;42.73128;Bombus hortorum;Iris pyrenaica;16/8/1889;16;8;1889;Gavarnie;MacLeod;1550;1550;1400-1600;12.2
-0.013661;42.73153;Bombus hortorum;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1500;1500;1400-1600;12.4
-0.013661;42.73153;Bombus hortorum;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1500;1500;1400-1600;12.4
-0.013661;42.73153;Bombus wurflenii;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1500;1500;1400-1600;12.4
-0.013661;42.73153;Bombus hortorum;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1500;1500;1400-1600;12.4
-0.013661;42.73153;Bombus wurflenii;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1500;1500;1400-1600;12.4
-0.007369;42.69684;Bombus sichelii;Scrophularia alpestris;15/8/1889;15;8;1889;Cirque de Gavarnie;MacLeod;1700;1700;1600-1800;10.7
-0.007369;42.69684;Bombus soroeensis;Scrophularia alpestris;15/8/1889;15;8;1889;Cirque de Gavarnie;MacLeod;1700;1700;1600-1800;10.7
-0.00371;42.76147;Bombus terrestris complex;Eryngium bourgati;10/8/1889;10;8;1889;Saugue;MacLeod;1550;1550;1400-1600;12.4
-0.00371;42.76147;Bombus sichelii;Eryngium bourgati;10/8/1889;10;8;1889;Saugue;MacLeod;1550;1550;1400-1600;12.4
-0.002154;42.76098;Bombus terrestris complex;Carduus defloratus;10/8/1889;10;8;1889;Saugue;MacLeod;1400;1400;1400-1600;13.1
-0.002154;42.76098;Bombus lapidarius;Trifolium repens;10/8/1889;10;8;1889;Saugue;MacLeod;1400;1400;1400-1600;13.1
0.008022;42.77478;Bombus hortorum;Cirsium acaule;24/8/1889;24;8;1889;tussen Gedre en Gavarnie;MacLeod;1200;1200;1200-1400;13.9
0.008022;42.77478;Bombus hortorum;Cirsium eriophorum;24/8/1889;24;8;1889;tussen Gedre en Gavarnie;MacLeod;1200;1200;1200-1400;13.9
0.018592;42.78608;Bombus terrestris complex;Campanula rapunculoides;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1200;1200-1400;14.8
0.018592;42.78608;Bombus terrestris complex;Campanula rapunculoides;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Campanula rapunculoides;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Rubus fruticosus;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Rubus fruticosus;10/8/1889;10;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Rubus fruticosus;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Lathyrus pyrenaicus?;29/8/1889;29;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Teucrium scorodonia;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Lathyrus pyrenaicus?;9/8/1889;9;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Teucrium scorodonia;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus lapidarius;Centaurea nigra;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus lapidarius;Centaurea nigra;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Scabiosa columbaria;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus humilis;Satureja montana;26/8/1889;26;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus humilis;Centaurea nigra;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus humilis;Centaurea nigra;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus quadricolor;Centaurea nigra;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Ballota foetida;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus humilis;Ballota foetida;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Echium vulgare;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Brunella vulgaris;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Teucrium scorodonia;26/8/1889;26;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Cirsium monspessulanum;9/8/1889;9;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Cirsium monspessulanum;29/8/1889;29;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Centaurea scabiosa;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Carlina vulgaris;26/8/1889;26;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Centaurea nigra;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Picris hieracioides;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Sedum albescens;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Echium vulgare;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Verbascum  nigrum;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Betonica officinalis;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Brunella grandiflora;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Brunella grandiflora;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Teucrium scorodonia;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Teucrium scorodonia;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Cirsium monspessulanum;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Cirsium monspessulanum;9/8/1889;9;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus hortorum;Trifolium pratense;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus lapidarius;Verbascum  nigrum;8/8/1889;8;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Campanula rapunculoides;10/8/1889;10;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus lapidarius;Carlina vulgaris;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus lapidarius;Malva moschata;7/8/1889;7;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus wurflenii;Verbena officinalis;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Rubus fruticosus;29/8/1889;29;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus pascuorum;Teucrium scorodonia;26/8/1889;26;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus mesomelas;Satureja montana;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus mesomelas;Scabiosa columbaria;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus mesomelas;Centaurea nigra;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Echium vulgare;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Satureja montana;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Centaurea nigra;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Centaurea scabiosa;5/8/1889;5;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Silene inflata;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Clematis vitalba;11/8/1889;11;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Papaver rhaeas;10/8/1889;10;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Tilia sylvestris;7/8/1889;7;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Sedum telephium;31/8/1889;31;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus terrestris complex;Merendera bulbocodium;25/8/1889;25;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
0.018592;42.78608;Bombus humilis;Merendera bulbocodium;26/8/1889;26;8;1889;Gedre;MacLeod;1000;1000;1000-1200;14.8
