"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","1 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","2 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthidium",NA,"Anthidium manicatum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","4 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","5 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","6 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","7 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","11 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","12 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera longicornis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","13 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Andrena",NA,"Andrena labialis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","14 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","15 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthophora ",NA,"Anthophora fulvitarsis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","17 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","18 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","19 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","20 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus hypnorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","21 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Nomada",NA,"Nomada merceti",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","23 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","29 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","29b GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthophora ",NA,"Anthophora fulvitarsis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","30 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","32 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","33 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","34 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus muscorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,43587,43587,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","35 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus eurygnathus",NA,"Portugal","Leiria","Alcobaça","39.550693"," -8.959638","<100m",2018,4,20,43210,43210,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","1 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,4,27,43217,43217,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","2 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.513871"," -9.016919","<100m",2018,4,25,43215,43215,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","3 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Fundão","Póvoa de Atalaia","40.059641"," -7.411735","<100m",2018,4,18,43208,43208,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Prunus avium","4 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lassioglossum calceatum",NA,"Portugal","Leiria","Alcobaça","39.505918"," -9.025506","<100m",2018,5,4,43224,43224,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","5 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Megachile",NA,"Megachile centuncularis",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,5,4,43224,43224,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","6 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.513788"," -9.016613","<100m",2018,4,27,43217,43217,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","7 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,4,30,43220,43220,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","8 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.505918"," -9.025506","<100m",2018,5,3,43223,43223,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","9 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,5,4,43224,43224,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","10 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.513871"," -9.016919","<100m",2018,4,27,43217,43217,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Fuji","11 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.551024"," -8.959230","<100m",2018,5,7,43227,43227,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","12 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.513603"," -9.016268","<100m",2018,5,2,43222,43222,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Fuji","13 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Fundão","Póvoa de Atalaia","40.059641"," -7.411735","<100m",2018,4,16,43206,43206,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Prunus avium","14 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alfeizerão","39.479739"," -9.081469","<100m",2019,4,27,43582,43582,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","51 GOPolimax (CEF – UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Fundão","Póvoa de Atalaia","40.057465"," -7.411035","<100m",2018,4,16,43206,43206,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Prunus avium","16 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Andrena",NA,"Andrena agilissima",NA,"Portugal","Leiria","Alcobaça","39.513788"," -9.016613","<100m",2018,5,3,43223,43223,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Fuji","17 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,5,8,43228,43228,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","18 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,20,43210,43210,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","19 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.513603"," -9.016268","<100m",2018,4,30,43220,43220,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","20 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Fundão","Póvoa de Atalaia","40.058748"," -7.410015","<100m",2018,5,15,43235,43235,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Prunus avium","21 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lasioglossum punctatissimum",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","22 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","24 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551024"," -8.959230","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","25 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,24,43214,43214,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","26 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus rubicundus",NA,"Portugal","Leiria","Alcobaça","39.551289"," -8.958984","<100m",2018,4,21,43211,43211,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","31 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.550693"," -8.959638","<100m",2018,4,21,43211,43211,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","32 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,20,43210,43210,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","33 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,5,8,43228,43228,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","38 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lassioglossum calceatum",NA,"Portugal","Leiria","Alcobaça","39.593308"," -8.967163","<100m",2019,4,28,43583,43583,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","73 GOPolimax (CEF – UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
