Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Amegilla ;quadrifasciata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;5;C. Azpiazu;O. Aguado;0;1;0;0;NA;Lavandula angustifolia;NA;C. Azpiazu;NA;NA
Amegilla ;quadrifasciata;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Amegilla ;quadrifasciata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena;ternuistriata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;28;C. Azpiazu;O. Aguado;1;0;0;0;NA;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;7;4;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;9;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;bicolor ;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena ;bicolorata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Andrena ;carbonaria;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2014;6;3;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;28;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Diplotaxis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;9;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;23;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;14;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;26;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;26;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;flavipes;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;19;C. Azpiazu;O. Aguado;0;1;0;0;NA;Foeniculum vulgare;NA;C. Azpiazu;NA;NA
Andrena ;florea;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;26;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Andrena ;nigroaenea;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;11;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;ovatula;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis sp.;NA;C. Azpiazu;NA;NA
Andrena ;thoracica;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena ;thoracica;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;5;13;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena  ;carbonaria;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;11;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;17;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;11;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;26;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Andrena  ;djelfensis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;17;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Anthidium ;florentinum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;22;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Anthidium ;florentinum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;30;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Medicago sativa;NA;C. Azpiazu;NA;NA
Anthophora; atroalba;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;NA;NA;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Anthophora ;agama;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Anthophora ;fulvitarsis ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;NA;NA;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Anthophora ;quadrimaculata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;5;C. Azpiazu;O. Aguado;0;1;0;0;NA;Lavandula angustifolia;NA;C. Azpiazu;NA;NA
Anthophora ;quadrimaculata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;14;C. Azpiazu;O. Aguado;0;1;0;0;NA;Salvia officinalis;NA;C. Azpiazu;NA;NA
Apis ;mellifera;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;NA;C. Azpiazu;C. Azpiazu;1;0;1;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Apis ;mellifera;NA;Spain ;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;17;C. Azpiazu;C. Azpiazu;1;0;1;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Apis ;mellifera;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2015;6;18;C. Azpiazu;C. Azpiazu;1;0;1;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Bombus; terrestris;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2014;6;18;C. Azpiazu;C. Azpiazu;1;0;1;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Bombus; terrestris;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;25;C. Azpiazu;C. Azpiazu;1;0;1;0;NA;Lavandula angustifolia;NA;C. Azpiazu;NA;NA
Bombus ;pascuorum;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;9;C. Azpiazu;O. Aguado;1;0;0;0;NA;Borago officinalis;NA;C. Azpiazu;NA;NA
Cephus ;pygmeus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;17;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Cephus ;pygmeus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;5;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Ceratina; chalcites;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Ceratina; chalcites;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;14;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Ceratina; chalcites;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;14;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Ceratina ;cucurbitina;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;29;C. Azpiazu;O. Aguado;0;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Ceratina  ;cucurbitina;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;22;C. Azpiazu;O. Aguado;0;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Ceratina  ;cucurbitina;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;14;C. Azpiazu;O. Aguado;0;0;0;0;NA;Salvia officinalis;NA;C. Azpiazu;NA;NA
Ceylalictus;variegatus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;30;C. Azpiazu;J.Ortiz;0;1;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Ceylalictus ;variegatus ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Ceylalictus ;variegatus ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;17;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Chalicodoma ;albonotata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;5;C. Azpiazu;O. Aguado;0;1;0;0;NA;Borago officinalis;NA;C. Azpiazu;NA;NA
Chalicodoma ;albonotata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;18;C. Azpiazu;O. Aguado;0;1;0;0;NA;Salvia officinalis;NA;C. Azpiazu;NA;NA
Coelioxys; echinata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;20;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Medicago sativa;NA;C. Azpiazu;NA;NA
Colletes ;eous ;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;24;C. Azpiazu;O. Aguado;0;1;0;0;NA;Foeniculum vulgare;NA;C. Azpiazu;NA;NA
Colletes ;eous ;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;24;C. Azpiazu;O. Aguado;1;0;0;0;NA;Petroselinum crispum;NA;C. Azpiazu;NA;NA
Dasypoda ;visnaga;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;7;4;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Dasypoda ;visnaga;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;25;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Dasyscolia ;ciliata;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;18;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;3;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;8;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Eucera ;elongatula;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;5;C. Azpiazu;O. Aguado;1;0;0;0;NA;Borago officinalis;NA;C. Azpiazu;NA;NA
Eucera ;notata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Eucera ;notata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;20;C. Azpiazu;O. Aguado;1;0;0;0;NA;Borago officinalis;NA;C. Azpiazu;NA;NA
Habropoda ;zonatula;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;NA;NA;C. Azpiazu;O. Aguado;0;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Halictus;crenicornis ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;17;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Halictus;crenicornis ;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;16;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Halictus ;asperellus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2014;5;16;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Halictus ;crenicornis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;O. Aguado;0;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Halictus ;crenicornis;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;8;C. Azpiazu;O. Aguado;0;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Halictus ;fulvipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;23;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Halictus ;fulvipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;5;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
