Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;10;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;12;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;17;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;17;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;01;01;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;01;01;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Megachile;Eutricharaea;leachella;Cerro Colgado;Cercedilla ;Madrid;España;27;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;NA;NA;1;NA
Megachile;Eutricharaea;leachella;Cerro Colgado;Cercedilla ;Madrid;España;28;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;NA;NA;1;NA
Trachusa ;byssina;NA;Puerto de Navafría    ;NA;Madrid;NA;23;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;NA;1;NA
Pseudoanthidium ;melanurum;NA;Navacerrada (Barranca);NA;Madrid;NA;27;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;1;NA;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;pyrenaica;Río Mulhacén (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2575;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;pyrenaica;Río Mulhacén (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2575;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;NA;ericetorum;Río Blanco;Aguadulce;Sevilla;España;17;5;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2009;1;NA;Almería UCME
Chalicodoma;NA;ericetorum;Río Blanco;Aguadulce;Sevilla;España;17;5;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2009;NA;1;Almería UCME
Trachusa ;byssina;NA;Puerto de Navafría    ;NA;Madrid;NA;23;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;NA;1;NA
Pseudoanthidium ;melanurum;NA;Navacerrada (Barranca);NA;Madrid;NA;27;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;1;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Stelis;NA;punctulatissima;El Raso;Agoncillo;La Rioja;España;NA;NA;2007;NA;NA;340 m;NA;L. Baños;Torres;2008;1;NA;NA
Megachile;NA;apicalis;Valderrín;Cenicero;La Rioja;España;NA;NA;2007;NA;NA;497 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;apicalis;Valderrín;Cenicero;La Rioja;España;NA;NA;2007;NA;NA;497 m;NA;L. Baños;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;Valderrín;Cenicero;La Rioja;España;NA;NA;2007;NA;NA;497 m;NA;L. Baños;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;Valderrín;Cenicero;La Rioja;España;NA;NA;2007;NA;NA;497 m;NA;L. Baños;Torres;2008;NA;1;Salamanca    UCME
Megachile;Eutricharaea;pilidens ;Cerro Colgado;Cercedilla ;Madrid;España;27;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;Eutricharaea;pilidens;Cerro Colgado;Cercedilla ;Madrid;España;28;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;NA;deceptoria;Cabo de Gata;NA;Almería;España;NA;NA;NA;NA;NA;NA;NA;P. Vargas;C. Ornosa;2008;NA;NA;NA
Icteranthidium;NA;ghrohmanni; Guijo de Galisteo, Cordel;NA;Cáceres;NA;NA;7;2004;NA;NA;NA;NA;F. Torres;Torres/Ornosa;NA;1;NA;Salamanca UCME
Stelis;NA;ornatula;Montehermoso;NA;Cáceres;NA;9;01;2006;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;1;Salamanca UCME
Stelis;NA;ornatula;Montehermoso;NA;Cáceres;NA;20;01;2006;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;1;Salamanca UCME
Stelis;NA;ornatula;Montehermoso;NA;Cáceres;NA;20;01;2006;NA;NA;NA;NA;NA;C. Ornosa;NA;1;NA;Salamanca UCME
Stelis;NA;ornatula;Montehermoso;NA;Cáceres;NA;6;01;2006;NA;NA;NA;NA;NA;C. Ornosa;NA;1;NA;Salamanca UCME
Stelis;NA;ornatula;Montehermoso;NA;Cáceres;NA;9;01;2006;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;1;Salamanca UCME
Chalicodoma;NA;ericetorum;Los Pradillos;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;552 m;NA;L. Baños;Torres;2008;NA;1;Salamanca
Chalicodoma;NA;ericetorum;Los Pradillos;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;552 m;NA;L. Baños;Torres;2008;NA;1;Salamanca
Chalicodoma;NA;ericetorum;Los Pradillos;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;552 m;NA;L. Baños;Torres;2008;1;NA;Salamanca
Chalicodoma;NA;ericetorum;Los Pradillos;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;552 m;NA;L. Baños;Torres;2008;1;NA;Salamanca
Chalicodoma;NA;ericetorum;Los Pradillos;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;552 m;NA;L. Baños;Torres;2008;1;NA;Salamanca
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m;"42º23'06.5""N 01º15'46.2""W";Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m;"42º23'38.9""N 01º15'45.3""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m;"42º24'70.3""N 01º15'44.4""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m;"42º25'0.2""N 01º15'43.5""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'32""N 01º15'42.6""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'64.3""N 01º15'41.7""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'96.8""N 01º15'40.8""W";C. Ornosa;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'96.8""N 01º15'39.9""W";Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'96.8""N 01º15'39""W";Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'96.8""N 01º15'37.1""W";Torres;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;08;7;2008;NA;NA;583 m ;"42º25'96.8""N 01º15'36.2""W";Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;rotundata;Sierra de Albarracín;Albarracín;Teruel;España;09;7;2008;NA;NA;1158 m;"40º25'58.3""N 01º25'12.7""W";Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;leachella;Embalse de la Tranquera;Nuévalos;Zaragoza;España;09;7;2008;NA;NA;740 m;NA;Torres;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;leachella;Embalse de la Tranquera;Nuévalos;Zaragoza;España;09;7;2008;NA;NA;740 m;NA;C. Ornosa;Torres;2008;NA;1;NA
Anthidium;NA;punctatum;Crta Embid de la Ribera-Calatayud; ;Zaragoza;España;7;7;2008;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2008;NA;1;UCME
Megachile;Neoeutric.;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;8;7;2008;NA;NA;583 m ;"42º22'34.1""N 01º15'47.1""W";C. Ornosa;Torres;2008;NA;1;NA
Megachile;Neoeutric.;apicalis;(Ctra. A-127 Gallur-Sangüesa);Castilíscar;Zaragoza;España;8;7;2008;NA;NA;583 m;"42º22'34.1""N 01º15'47.1""W";C. Ornosa;Torres;2008;NA;1;NA
Chelostoma;NA;rapunculi;Montenegro;Rodezno;La Rioja;España;NA;NA;2007;NA;NA;593 m;NA;L. Baños;Torres;2008;1;NA;Salamanca
Chelostoma;NA;rapunculi;Cuesta Laguardia;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;1;NA;Salamanca
Chelostoma;NA;rapunculi;Cuesta Laguardia;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;Salamanca
Osmia ;Helicosmia;leaiana;Tordesillas;El Vivero;Valladolid;España;NA;NA;NA;01-05-2005;15-05-2005;NA;NA;Gayubo et al.;Torres;2008;NA;1;"Salamanca; UCME"
Osmia ;Helicosmia;leaiana;Tordesillas;El Vivero;Valladolid;España;NA;NA;NA;15-05-2005;30-05-2005;NA;NA;Gayubo et al.;Torres;2008;NA;1;"Salamanca; UCME"
Stelis ;Pseudotelis;breviuscula;Puerto de la Ragua;Ferreira, Sª N;Granada;NA;23;7;2006;NA;NA;2000 m;"37º07'06.0""N 03º02'01.6""W";J. Ortiz;C. Ornosa;2009;NA;1;"  de Almería; UCME"
Stelis ;Pseudotelis;breviuscula;Palacio Doñana ;NA;Huelva;NA;18;6;2005;NA;NA;2m;"36º59'33.8""N 06º29'39.0""W";J. Ortiz;C. Ornosa;2009;NA;1;"  de Almería; UCME"
Stelis ;Stelis ;punctulatissima ;Pradollano;Monachil;Granada;NA;23;6;2006;NA;NA;2040;"37º5'26.2""N 03º24'18.3""W";J. Ortiz;C. Ornosa;2009;1;NA;"  de Almería; UCME"
Stelis ;Stelis ;punctulatissima ;Pradollano ;Monachil;Granada;NA;23;6;2006;NA;NA;2040;"37º05'26.2""N 03º24'18.3""W";J. Ortiz;C. Ornosa;2009;1;NA;"  de Almería; UCME"
Stelis ;Stelis ;simillima;Macián;Velez Blanco;NA;NA;12;7;2005;NA;NA;1200 m;"37º52'55.1""N 02º13'36.2""W";J. Ortiz;C. Ornosa;2009;1;NA;"  de Almería; UCME"
Chalicodoma;Chalicodoma;pyrenaica;Maraña bajo Tarna;NA;León;España;20;6;2008;NA;NA;1400 m;NA;C. Ornosa;F. Torres;NA;NA;1; 
Anthidiellum;Anthidiellum;strigatum;San Salvador Guardiola;NA;Barcelona;España;18;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidiellum;Anthidiellum;strigatum;La Mola;NA;Barcelona;España;24;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidiellum;Anthidiellum;strigatum;La Mola;NA;Barcelona;España;24;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidiellum;Anthidiellum;strigatum;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidiellum;Anthidiellum;strigatum;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium;loti;San Salvador Guardiola;NA;Barcelona;España;9;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium ;Anthidium ;florentinum ;Salelles;NA;Barcelona;España;26;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;florentinum ;Salelles;NA;Barcelona;España;26;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;florentinum ;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium ;Anthidium ;florentinum ;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium ;Anthidium ;florentinum ;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Deltebre;NA;Tarragona;España;31;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Deltebre;NA;Tarragona;España;28;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Deltebre;NA;Tarragona;España;28;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Deltebre;NA;Tarragona;España;28;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium;Proanthidium;oblongatum;Taradell;NA;Barcelona;España;3;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium;Proanthidium;oblongatum;Taradell;NA;Barcelona;España;3;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Anthidium;Proanthidium;oblongatum;Taradell;NA;Barcelona;España;3;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium;Proanthidium;oblongatum;Taradell;NA;Barcelona;España;3;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium;Proanthidium;oblongatum;Taradell;NA;Barcelona;España;3;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;4;NA;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Tarragona ;NA;Tarragona;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Tarragona ;NA;Tarragona;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Anthidium ;Anthidium ;manicatum;Tarragona ;NA;Tarragona;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Pseudoanthidium;NA;lituratum       Ornosa det;San Salvador Guardiola;NA;Barcelona;España;23;8;2008;NA;NA;NA;NA;J.  Bosch;como reticulatum? Bosch det;2008;NA;1;Barcelona    UCME
Pseudoanthidium;NA;lituratum       Ornosa det;Salelles;NA;Barcelona;España;26;8;2008;NA;NA;NA;NA;J.  Bosch;como reticulatum? Bosch det;2008;NA;1;Barcelona    UCME
Pseudoanthidium;NA;lituratum       Ornosa det;Salelles;NA;Barcelona;España;26;8;2008;NA;NA;NA;NA;J.  Bosch;como reticulatum? Bosch det;2008;NA;1;Barcelona    UCME
Pseudoanthidium;NA;lituratum;La Mola;NA;Barcelona;España;24;8;2008;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Osmia ;Helicosmia;latreillei;Copons;NA;Barcelona;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Osmia ;NA;rufa;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Osmia ;NA;rufa;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Osmia ;NA;rufa;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Osmia;NA;rufa;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Osmia;NA;fulviventris;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Osmia;NA;fulviventris;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;NA;Barcelona    UCME
Osmia;NA;fulviventris;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Osmia;NA;fulviventris;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;NA;1;Barcelona    UCME
Osmia;NA;fulviventris;Tar;NA;NA;España;NA;NA;2004;NA;NA;NA;NA;J.  Bosch;Bosch/ Ornosa;2008;1;1;Barcelona    UCME
