"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Observaciones"
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","septemdentatum ","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","sticticum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","sticticum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Rhodanthidium","Rhod.","septemdentatum ","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Chalicodoma",NA,"sicula ","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","J. Ortiz",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"latrillei","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,1," ","Almería/UCME",NA
"Osmia",NA,"ferruginea","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"tricornis","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"tricornis","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Stelis",NA,"punctulatissima","Fuente Chirrichana","Cofrentes","Valencia","España","2011-06-17","630","30SXJ6650","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Anthidiellum",NA,"strigatum","Fuente Chirrichana","Cofrentes","Valencia","España","2011-06-17","630","30SXJ6650","J. Ortiz","C. Ornosa",2011,1,NA,"Almería/UCME",NA
"Anthidium",NA,"cingulatum","Casa de Postas","Buñol ","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,NA,"1","Almería",NA
"Anthidiellum",NA,"strigatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,1," ","Almería/UCME",NA
"Anthidiellum",NA,"strigatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"laticeps","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidium",NA,"florentinum","Fuente la Losa","Calles","Valencia","España","2011-06-18","510","30SXK7600","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"interrupta","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Coelioxys","Coelioxys","conoidea","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","J. Ortiz",2011,NA,"1","Almería",NA
"Anthidium",NA,"loti","Finca Contreras, Hoces del Cabriel","Minglanilla","Cuenca","España","2011-06-19","650","30SXJ2877","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidium",NA,"florentinum","Finca Contreras, Hoces del Cabriel","Minglanilla","Cuenca","España","2011-06-19","650","30SXJ2877","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Stelis",NA,"signata","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Coelioxys","Allocoelioxys","afra","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","J. Ortiz",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"interrupta","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"interrupta","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Stelis",NA,"punctulatissima","Jarafuel","Jarafuel","Valencia","España","2011-06-19","615","30SXJ6634","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidium",NA,"florentinum","Jarafuel","Jarafuel","Valencia","España","2011-06-19","615","30SXJ6634","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Anthidiellum",NA,"strigatum","Las Conejeras, Sierra de las Nieves","Parauta","Málaga","España","2011-07-07","1060","30SUF1259","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidiellum",NA,"strigatum","Las Conejeras, Sierra de las Nieves","Parauta","Málaga","España","2011-07-07","1060","30SUF1259","J. Ortiz","C. Ornosa",2011,1,NA,"Almería/UCME",NA
"Anthidium ",NA,"florentinum","Parauta, Sierra de las Nieves","Parauta","Málaga","España","2011-07-07","810","30SUF0958","J. Ortiz","C. Ornosa",2011,NA,"1","Almería ",NA
"Pseudoanthidium",NA,"scapulare","Parauta-II, Sierra de las Nieves","Parauta","Málaga","España","2011-07-07","940","30SUF1059","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Parauta-II, Sierra de las Nieves","Parauta","Málaga","España","2011-07-07","940","30SUF1059","J. Ortiz","C. Ornosa",2011,1," ","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Las Covezuelas, Sierra de Grazalema","Villaluenga del Rosario","Cádiz","España","2011-07-08","870","30STF8865","J. Ortiz","C. Ornosa",2011,1,NA,"Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Las Covezuelas, Sierra de Grazalema","Villaluenga del Rosario","Cádiz","España","2011-07-08","870","30STF8865","J. Ortiz","C. Ornosa",2011,1,NA,"Almería/UCME",NA
"Icteranthidium",NA,"grohmanii","El Cintillo, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","740","30STF8362","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","El Cintillo, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","740","30STF8362","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","El Cintillo, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","740","30STF8362","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Río Tavizna, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","300","30STF7968","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Río Tavizna, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","300","30STF7968","J. Ortiz","C. Ornosa",2011,1," ","Almería/UCME",NA
"Pseudoanthidium",NA,"scapulare","Río Tavizna, Sierra de Grazalema","Benaocaz","Cádiz","España","2011-07-08","300","30STF7968","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Anthidium",NA,"florentinum","Puerto de los Alamillos, Sierra de Grazalema ","Grazalema","Cádiz","España","2011-07-08","822","30STF9070","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Pseudoanthidium",NA,"scapulare","Puerto de los Alamillos, Sierra de Grazalema ","Grazalema","Cádiz","España","2011-07-08","822","30STF9070","J. Ortiz","C. Ornosa",2011,1," ","Almería/UCME",NA
"Anthidium",NA,"florentinum","Puerto de los Alamillos, Sierra de Grazalema ","Grazalema","Cádiz","España","2011-07-08","822","30STF9070","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Anthidium",NA,"florentinum","Puerto de los Alamillos, Sierra de Grazalema ","Grazalema","Cádiz","España","2011-07-08","822","30STF9070","J. Ortiz","C. Ornosa",2011,1," ","Almería",NA
"Anthidium",NA,"florentinum","Puerto de los Alamillos, Sierra de Grazalema ","Grazalema","Cádiz","España","2011-07-08","822","30STF9070","J. Ortiz","C. Ornosa",2011,1," ","Almería",NA
"Osmia",NA,"niveata","Brieva",NA,"Segovia","España","08-V-2011",NA,NA,"A. López /C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Osmia",NA,"niveata","Brieva",NA,"Segovia","España","08-V-2011",NA,NA,"A. López /C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Osmia",NA,"niveata","Brieva",NA,"Segovia","España","08-V-2011",NA,NA,"A. López /C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Osmia",NA,"tricornis","Embalse Pinilla","Lozoya","Madrid","España","013-V-2011",NA,NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Anthidium ",NA,"florentinum","Madrid Capital",NA,"Madrid","España","26-VI-2011",NA,NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Megachile",NA,"ligniseca","Crtra. Chía- Benasque A139","Pirineos Valle de Benasque","Huesca","España","13-VII-2011","1000",NA,"C. Ornosa","J  Ortiz",2011,NA,"1","UCME",NA
"Megachile",NA,"lagopoda-maritima","Crtra. Chía- Benasque A139","Pirineos Valle de Benasque","Huesca","España","13-VII-2011","1000",NA,"C. Ornosa","J  Ortiz",2011,NA,"1","UCME",NA
"Megachile",NA,"lagopoda-maritima","Chía, Mirador","Pirineos Valle de Benasque","Huesca","España","14-VII-2011","1320",NA,"C. Ornosa","J  Ortiz",2011,NA,"1","UCME",NA
"Trachusa",NA,"byssina","Chía, Mirador","Pirineos Valle de Benasque","Huesca","España","14-VII-2011","1320",NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Osmia",NA,"leaiana ","Chía, Mirador","Pirineos Valle de Benasque","Huesca","España","14-VII-2011","1320",NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Trachusa",NA,"interrupta","Chía, Mirador","Pirineos Valle de Benasque","Huesca","España","14-VII-2011","1320",NA,"C. Ornosa","C. Ornosa",2011,1,NA,"UCME",NA
"Trachusa",NA,"byssina","La Besurta","Pirineos Valle de Benasque","Huesca","España","15-VII-2011","1700",NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UCME",NA
"Osmia",NA,"xanthomelaena ","Villabierna","Pirineos Benasque","Huesca","España","15-VII-2011","1901",NA,"C. Ornosa","F Torres",2011,NA,"1","UCME",NA
"Hoplitis",NA,"mucida","Villabierna","Pirineos Benasque","Huesca","España","15-VII-2011","1901",NA,"C. Ornosa","F Torres",2011,NA,"1","UCME",NA
"Hoplitis",NA,"mucida","Villabierna","Pirineos Benasque","Huesca","España","15-VII-2011","1901",NA,"C. Ornosa","F Torres",2011,NA,"1","UCME",NA
"Hoplitis",NA,"mucida","Benasque","Pirineos Benasque","Huesca","España","15-VII-2011","1140",NA,"C. Ornosa","F Torres",2011,NA,"1","UCME",NA
"Rhodanthidium",NA,"septemdentatum","Benasque","Pirineos Benasque","Huesca","España","15-VII-2011","1140",NA,"C. Ornosa","C. Ornosa",2011,NA,NA,"UCME",NA
"Osmia",NA,"emarginata ","Cerro Colgado","Cercedilla","Madrid","España","17-IV-2011","1300 aprox",NA,"C. Ornosa","F Torres",2011,1,NA,"UCME",NA
"Chalicodoma",NA,"lefebvrei","Cabo de Gata","Almería",NA,"España","V-07",NA,NA,"P. Vargas","C. Ornosa",2007,1,NA,"UCME",NA
"Chalicodoma",NA,"lefebvrei","Cabo de Gata","Almería",NA,"España","V-07",NA,NA,"P. Vargas","J. Ortiz/C. Ornosa",2007,1,NA,"UCME",NA
"Anthidium",NA,"oblongatum","Cerro Colgado","Cercedilla","Madrid","España","29-VIII-2011",NA,NA,"C. Ornosa","C. Ornosa",2011,NA,"1","UDEnt",NA
"Rhodanthidium",NA,"sticticum","Carcassone",NA,"Francia","Francia","2007",NA,NA,"P. Vargas","C. Ornosa",2011,NA,"1","Botánico",NA
"Rhodanthidium",NA,"sticticum",NA,"Guadalajara",NA,"España","2008",NA,NA,"P. Vargas","C. Ornosa",2011,NA,"1","Botánico",NA
"Hoplitis ",NA,"papaveris","Fuente de la Breña","Talaván","Cáceres ","España","22-VI-2010","400","29SQD331998","J. Ortiz","F. Torres",2011,NA,"1","UCME",NA
"Osmia ",NA,"signata","Fuente de la Breña","Talaván","Cáceres ","España","22-VI-2010","400","29SQD331998","J. Ortiz","F. Torres",2011,NA,"1","UCME",NA
"Hoplitis",NA,"bisulca","Fuente de la Breña","Talaván","Cáceres ","España","22-VI-2010","400","29SQD331998","J. Ortiz","F. Torres",2011,1,NA,"UCME",NA
"Osmia ",NA,"signata","Fuente de la Breña","Talaván","Cáceres ","España","22-VI-2010","400","29SQD331998","J. Ortiz","F. Torres",2011,NA,"1","UCME",NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf",NA,"Barcelona","España","20-V-2009",NA,NA,"J. Bosch","C. Ornosa",2012,1,NA,"UCME",NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf",NA,"Barcelona","España","20-V-2009",NA,NA,"J. Bosch","C. Ornosa",2012,NA,"1","UCME",NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf",NA,"Barcelona","España","20-V-2009",NA,NA,"J. Bosch","C. Ornosa",2012,NA,"1","UCME",NA
"Osmia",NA,"latreille","La Herradura",NA,"Granada","España","2-IV-2012",NA,NA,"V. Monserrat",NA,2012,NA,"1","UCME",NA
"Protosmia",NA,"capitata","La Fregeneda",NA,"Salamanca","España","9-V-1998",NA,NA,"Gayubo et al.","F. Torres",2012,NA,"1","USAL/UCME",NA
"Protosmia",NA,"capitata","Arévalo, Liborio TM Ne",NA,"Ávila","España","15-30-VI-2005",NA,NA,"Gayubo et al.","F. Torres",2012,1,NA,"USAL/UCME",NA
"Anthidium",NA,"oblongatum","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,"A. Glez.-Posada","C. Ornosa",2012,1,NA,"UCME",NA
"Chalicodoma",NA,"ericetorum","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,"A. Glez.-Posada","C. Ornosa",2012,1,NA,"UCME",NA
"Megachile",NA,"circucimcta","Avellanet (4)",NA,"Lérida","España","6-VI-2012",NA,NA,"A. Glez.-Posada"," ",2012,1,NA,"UCME",NA
"Osmia",NA,"aurulenta","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,"A. Glez.-Posada","F. Torres",2012,NA,"1","UCME",NA
"Hoplitis",NA,"mitis","Peñalara",NA,"Madrid","España","29-VI-2011",NA,NA,"C. Lara","C. Ornosa",2012,1,NA,"URJC ",NA
"Hoplitis",NA,"mitis","Peñalara",NA,"Madrid","España","5-VII-2011",NA,NA,"J. Moriente","C. Ornosa",2012,1,NA,"URJC ",NA
"Icteranthidium",NA,"ghromanni","Puerto Miravete",NA,"Cáceres","España","17-VII-2012",NA,NA,"C. Ornosa","C. Ornosa",2012,1,NA,"UCME",NA
"Icteranthidium",NA,"ghromanni","Puerto Miravete",NA,"Cáceres","España","17-VII-2012",NA,NA,"C. Ornosa","C. Ornosa",2012,NA,"1","UCME",NA
"Icteranthidium",NA,"ghromanni","Puerto Miravete",NA,"Cáceres","España","17-VII-2012",NA,NA,"C. Ornosa","C. Ornosa",2012,NA,"1","UCME",NA
"Megachile",NA,"leachella","La Morera. S de M Andrés",NA,"Badajoz","España","20-VI-2010","400","29SQC015713","J. Ortiz","J. Ortiz",2012,NA,"1","UCME",NA
"Megachile",NA,"leachella","La Morera. S de M Andrés",NA,"Badajoz","España","20-VI-2010","400","29SQC015713","J. Ortiz","J. Ortiz",2012,NA,"1","UCME",NA
"Pseudoanthidium",NA,"melanurum","Noguera ","La Olmeda","Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Pseudoanthidium",NA,"melanurum","Orihuela del Tremedal",NA,"Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Pseudoanthidium",NA,"melanurum","Fuente El Peral","Camareana de la Sierra","Teruel","España","20-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,NA,"1","UCME",NA
"Pseudoanthidium",NA,"melanurum","Puebla de los Polos","Tramacastilla","Teruel","España","20-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,NA,"1","UCME",NA
"Pseudoanthidium",NA,"reticulatum","Orihuela del Tremedal",NA,"Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Pseudoanthidium",NA,"reticulatum","Gea Monte Azú","Gea de Albarracín","Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Trachusa",NA,"interrupta","Noguera ","La Olmeda","Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","Gea Monte Azú","Gea de Albarracín","Teruel","España","21-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","La Mazona Río Mijares",NA,"Castellón","España","22-VII-2012",NA,NA,"J. Ortiz","C. Ornosa",2012,2,"1","UCME",NA
