"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS.(N)","GPS.(E)","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Comentarios","Atención!"
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Anthophora","(Pyganthophora)","romandii","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2018",800,"40º50´9´´N","3º35´6´´W","C. Polidori","C. Ornosa",2018,NA,"1","UCME",NA,NA
"Anthophora","(Pyganthophora)","romandii","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2018",800,"40º50´9´´N","3º35´6´´W","D. Romero","C. Ornosa",2018,NA,"1","UCME",NA,NA
"Anthophora","(Pyganthophora)","romandii","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2018",800,"40º50´9´´N","3º35´6´´W","D. Romero","C. Ornosa",2018,NA,"1","UCME",NA,NA
"Anthophora","(Pyganthophora)","romandii","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2018",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2018",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2019",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2020",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2021",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","22-V-2022",800,"40º50´9´´N","3º35´6´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Thoracobombus","sylvarum","Depósitos","Cercedilla","Madrid","España","16/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera",NA,NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","23/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,1,NA,"UCME",NA,NA
"Bombus ","Bombus","lucorum","Cerro Colgado","Cercedilla","Madrid","España","23/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","23/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,1,NA,"UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","23/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","23/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","30/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,1,NA,"UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","30/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","30/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","30/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","lucorum","Cerro Colgado","Cercedilla","Madrid","España","30/VI/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ","Anthidium","florentimun","Ciudad  Universitaria","Madrid","Madrid","España","3/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ",NA,"florentimun","Ciudad  Universitaria","Madrid","Madrid","España","4/VI/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ",NA,"florentimun","Ciudad  Universitaria","Madrid","Madrid","España","4/VI/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Anthidium ",NA,"florentimun","Ciudad  Universitaria","Madrid","Madrid","España","4/VI/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","4/VI/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","4/VI/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ",NA,"florentimun","Ciudad  Universitaria","Madrid","Madrid","España","5/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Anthidium ",NA,"florentimun","Ciudad  Universitaria","Madrid","Madrid","España","5/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","5/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","5/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","6/VII/2018",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,NA,"1","UCME",NA,NA
"Bombus ","Megabombus","ruderatus","Cerro Colgado","Cercedilla","Madrid","España","7/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1","UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","9/VII/2022",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","9/VII/2023",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","9/VII/2024",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Chalicodoma",NA,"ericetorum","Ciudad  Universitaria","Madrid","Madrid","España","9/VII/2025",NA,NA,NA,"C.Ornosa/D.Romero",NA,NA,1,NA,"UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","20/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","20/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","21/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","21/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","21/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Megachile",NA,"maritima","Cerro Colgado","Cercedilla","Madrid","España","29/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2019,NA,"1","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","31/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","31/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","31/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus","Bombus","terrestris","Pto Fuenfría "," Madrid","Madrid","España","31/VII/2018",1797,"40º47´31""N","4º3´35""W","C. Ornosa","C. Ornosa",2018,NA,"1 reina","UCME",NA,NA
"Bombus ","Bombus","terrestris","Cerro Colgado","Cercedilla","Madrid","España","1/VII/2018",NA,"40º47´10""N","4º3´11""W","C. Ornosa","C. Ornosa",2018,1,NA,"UCME",NA,NA
"No recolectadas17 reinas el 31-VII-2018 y 3 el  1/VIII/2018 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Barranco de los Almendros","San Martín de la Vega","Madrid","España","18/V/2018",520,"40°14'41.2""N","3°32'09.5""W","D. Romero","D. Romero",2018,NA,"1","UCME",NA,NA
"Rhodanthidium",NA,"sticticum","Barranco de los Almendros","San Martín de la Vega","Madrid","España","18/V/2018",520,"40°14'41.2""N","3°32'09.5""W","D. Romero","D. Romero",2018,1,NA,"UCME",NA,NA
"Rhodanthidium",NA,"sticticum","Barranco de los Almendros","San Martín de la Vega","Madrid","España","18/V/2018",520,"40°14'41.2""N","3°32'09.5""W","D. Romero","D. Romero",2018,1,NA,"UCME",NA,NA
"Rhodanthidium",NA,"sticticum",NA,"Nuévalos","Zaragoza","España","26/V/2018",707,"41°12'51.8""N","1°47'34.8""W","D. Romero","D. Romero",2018,1,NA,"UCME",NA,NA
"Rhodanthidium",NA,"sticticum",NA,"Nuévalos","Zaragoza","España","26/V/2018",707,"41°12'51.8""N","1°47'34.8""W","D. Romero","D. Romero",2018,NA,"1","UCME",NA,NA
